,and,and the,are,economic,for,from,has,have,market,not,that,the,this,was,which,with
random,0.31703236746196733,0.0,0.0,0.0,0.1751232874536919,0.0,0.0,0.0,0.0,0.0,0.0,0.45362713804098004,0.8142755871359655,0.0,0.0,0.0
random,0.3975886949512739,0.034483912766186404,0.03363199329648678,0.0,0.1336824894052335,0.029622727644738802,0.04597855035491521,0.024951251462122424,0.0,0.011909469860527905,0.05361517763793287,0.8657044696457824,0.08879816624618855,0.20132409285019837,0.032808571521682234,0.12713895492372151
random,0.304690688772022,0.03545572115476823,0.018113225070552595,0.0,0.11080141975761874,0.18274524326810998,0.018572044414402404,0.03115178983216181,0.0,0.02973809170821224,0.07087645770175449,0.9143217642678085,0.008151842122386744,0.10054174377811395,0.022488777520623567,0.07757125005290409
random,0.19290331642094685,0.25654218050878613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9200551565884446,0.0,0.224661810213953,0.0,0.0
random,0.5902198878502735,0.09811670155422901,0.09569274436226216,0.0,0.08150685678276126,0.0,0.2943501046626871,0.0,0.0,0.0,0.09153040872269554,0.7037655720660422,0.18949234173079363,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.0,0.5137486807464977,0.0,0.0,0.0,0.0,0.0,0.8579407281573904,0.0,0.0,0.0,0.0
random,0.1522460237218588,0.0,0.0,0.0,0.0,0.08696481122195462,0.0,0.0,0.0,0.0,0.0,0.9439814946293182,0.0,0.26596640162933294,0.0,0.08613408658455506
random,0.5138917913690816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8578550150016472,0.0,0.0,0.0,0.0
random,0.2404242515660565,0.0,0.0,0.0,0.26561253448603933,0.07847617443506114,0.0,0.0,0.0,0.0,0.042611005473310884,0.9173655550413247,0.08821613847594709,0.08000180546151688,0.043458036892797695,0.07772653684445353
random,0.5341557679097556,0.05919782682389803,0.0,0.0,0.0,0.2542636494087553,0.0,0.0,0.0,0.06133422901991048,0.0,0.7642990972965961,0.11432849507312988,0.20736536827765134,0.0,0.050366963110131474
random,0.27582011789534044,0.0,0.0,0.0,0.5078611392099314,0.1050345745112626,0.12227108685999676,0.0,0.0,0.0,0.0,0.7016149546658169,0.3542123951588048,0.10707651917636044,0.0,0.10403123985671374
random,0.4154605408347224,0.0,0.09509491028705762,0.0,0.269992160331904,0.05583910540183258,0.09750372396719553,0.035274998398447666,0.0,0.0,0.09095857856340286,0.8392426119838536,0.0313847501484495,0.0853869842597737,0.061844449479930085,0.08295855999520634
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336436890968115,0.0,0.7736250223899066,0.0,0.0
random,0.38670172460905045,0.05714163820412478,0.031845693316463586,0.010034328415004382,0.10171783588157148,0.09116045984040962,0.02448927351605348,0.0,0.0,0.008457690599764192,0.030460505075273387,0.8607104176072364,0.023648011563444492,0.2645007106915794,0.023299504528770273,0.1180710893919941
random,0.3031956251089342,0.0,0.0,0.0,0.6699204252956716,0.0,0.0,0.0,0.0,0.0,0.0,0.5784383669750961,0.0,0.35311201097902767,0.0,0.0
random,0.16278905149997633,0.07216440340788624,0.07038159353073334,0.0,0.11989587094158635,0.06199141269992504,0.21649321022365875,0.07832313816530438,0.08820899144343766,0.0,0.0,0.8281863836457792,0.13937078575565534,0.3159828428695848,0.13731684142576495,0.24559697808652206
random,0.5316093552421755,0.08837343086101579,0.0,0.0,0.1101194871793915,0.26570410727807553,0.0,0.0,0.0,0.0,0.0,0.7606555516866854,0.1706752071295703,0.11608696226490595,0.0,0.07519028266584336
random,0.5405051614049285,0.0,0.0,0.0,0.11942634313169895,0.0,0.5750543858167356,0.0,0.0,0.0,0.0,0.5155894363455061,0.0,0.251796330398455,0.13677909083177905,0.12231759420372101
random,0.33772226301324787,0.07485615710438556,0.018251711972227816,0.0,0.10882201974375375,0.1446833493434364,0.11228423565657834,0.10155576812351584,0.0,0.0,0.03491563896177165,0.8859241688520519,0.05421350905854068,0.0655538193656047,0.01780485005319422,0.1751460001278635
random,0.33622344727322,0.023533877216182067,0.0,0.0,0.2736986936152939,0.1819468329866976,0.0,0.025542331533595187,0.0,0.0975327840461234,0.15367880864456382,0.8440118909227896,0.022725435288071492,0.12365600338130654,0.044781049010581046,0.12013919995191014
random,0.25451359661437434,0.05641295188354362,0.02750963953027352,0.0,0.07029449090260324,0.14538131336307542,0.0,0.0,0.0,0.0,0.052626112184383234,0.8092708524718029,0.0,0.4940254216493449,0.05367222621080606,0.023998761600696274
random,0.47277692973035257,0.0,0.45990983504647936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6764749204704139,0.0,0.0,0.2990998200954824,0.13373816932969784
random,0.2503309593572087,0.0,0.0,0.0,0.0,0.1429921392448479,0.0,0.0,0.0,0.08623246615161297,0.07764189414004403,0.8357699908871336,0.3214788296550731,0.0,0.23755583299329408,0.21243932683057098
random,0.2596957470307355,0.0,0.0,0.0,0.2265023898207986,0.10930420550477997,0.0,0.01972865046242136,0.0,0.0,0.05087144109168937,0.6127922435987321,0.0,0.7004118298256365,0.0,0.01546572650431135
random,0.31085934884967337,0.12402358341742374,0.0,0.0,0.20605610036129665,0.17756670373657965,0.04134119447247458,0.0,0.0,0.0,0.0,0.8006300056538486,0.0,0.3982411907854907,0.03933270405938205,0.10552230691431261
random,0.44673594527797317,0.09901904542962381,0.09657279597862517,0.0,0.16451289182682916,0.08506036522862223,0.049509522714811904,0.0,0.0,0.05129628176875665,0.09237218084115242,0.7812616349018503,0.2868525515613175,0.17342799494225908,0.09420837641058062,0.042123916332186526
random,0.5926038181668439,0.0,0.12136326641135171,0.15296245688073568,0.10337187463900531,0.14252742243717073,0.08295831601087746,0.0,0.10140275595163861,0.0,0.0,0.7437980206249892,0.08010851016152407,0.03632456348960242,0.039463964872774336,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8601016117706894,0.0,0.0,0.0,0.5101227474142496
random,0.601051163627613,0.0,0.0,0.0,0.6640208792874231,0.0,0.0,0.0,0.0,0.0,0.0,0.2866722214678428,0.0,0.0,0.0,0.34004824365219427
random,0.6358086647660302,0.0,0.0,0.0,0.1756049460450233,0.0,0.0,0.22943126137006234,0.0,0.0,0.1972004947763777,0.4548747928302169,0.0,0.37024227531772474,0.0,0.35971250508465463
random,0.2836217757493699,0.0,0.183935151227844,0.0,0.3133356897297999,0.0,0.0,0.0,0.0,0.0,0.0,0.8116428959558635,0.0,0.0,0.35886362792778875,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34870481336324805,0.8043439744782392,0.3609559521207351,0.0,0.0,0.3180354138872991
random,0.3469785123517781,0.0,0.06429240891436276,0.0,0.054761436726735446,0.33976871405239467,0.06592097592866926,0.0,0.0,0.0,0.0,0.8511012160137763,0.0,0.0,0.0,0.16826154983662894
random,0.4918712834818377,0.05771821525534761,0.05629229611253617,0.0,0.3675959182321391,0.03305446575900373,0.07695762034046348,0.04176271157353223,0.0,0.0,0.03589583797920203,0.7727957828192852,0.0,0.03369706740068525,0.036609383746532866,0.08184678882432485
random,0.18372070150463118,0.0,0.0,0.0,0.0,0.0,0.12216510903771058,0.0,0.0,0.0,0.0,0.9638843961851671,0.0,0.10698371116580198,0.0,0.10394107132600976
random,0.1671158302034413,0.0,0.0,0.0,0.30770647389592365,0.0,0.0,0.0,0.0,0.11513406258994523,0.0,0.876767505073817,0.0,0.291943230620652,0.03524164823176752,0.09454676737364494
random,0.731374026415533,0.0,0.23715631812371005,0.0,0.2019992862077349,0.0,0.0,0.0,0.0,0.0,0.22684075865623587,0.5232448489351599,0.0,0.0,0.0,0.20688958626617143
random,0.0,0.0,0.0,0.0,0.32449837199679044,0.33555972096332604,0.0,0.0,0.0,0.0,0.0,0.5603719525376695,0.0,0.6841664673510148,0.0,0.0
random,0.5069217239142366,0.0,0.0,0.0,0.28001493817253104,0.0,0.0,0.0,0.0,0.0,0.0,0.4835540982159627,0.0,0.5903784042926052,0.0,0.2867939575156983
random,0.3182701036921494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29236193039994207,0.0,0.7083971351245354,0.5449697510414602,0.0,0.0,0.120042126546341
random,0.4854148659456934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22295029537235891,0.0,0.1543462147374216,0.8311695493150193,0.0,0.0,0.0
random,0.354483080811694,0.23571357971487242,0.0,0.0,0.19581042451731298,0.10124255941319461,0.0,0.0,0.0,0.0,0.0,0.8453560894527532,0.11380814247315595,0.20642156937206085,0.0,0.0
random,0.4965401159956667,0.06003171406420659,0.0,0.0,0.0,0.05156906432945635,0.0,0.0,0.0,0.12439642116677883,0.16800587170933037,0.7750653584789693,0.0,0.3154296153208811,0.05711517709138763,0.0
random,0.25961781301503434,0.0,0.08418401861456605,0.0,0.07170423206423064,0.0,0.0,0.0,0.0,0.0,0.08052227661629252,0.9286881844690236,0.0,0.2267698486912005,0.0,0.0
random,0.5159480918247149,0.08168565807118719,0.11153467799942872,0.0,0.14928621205080822,0.08420455130822928,0.06534852645694976,0.017731393266210347,0.0,0.016926725620129413,0.060961867258904866,0.7968375622206392,0.09465548508176282,0.12876231890565196,0.0621736813521259,0.11120025845374128
random,0.9084002788135689,0.0,0.09818636234678033,0.0,0.0,0.0,0.0,0.0,0.0,0.10430670993318762,0.09391556210963532,0.36105235525733465,0.0,0.08816284016590535,0.0,0.08565546996015233
random,0.438333087096539,0.0,0.0,0.0,0.0,0.25038127919405273,0.0,0.0,0.0,0.3019885610093304,0.0,0.6271907988452453,0.0,0.5104977283484664,0.0,0.0
random,0.46422401928762136,0.08681789076224869,0.00940811876195651,0.0,0.21636235043925658,0.07457920306719279,0.03858572922766609,0.02093937771802634,0.0,0.0,0.044994474833618556,0.8164579195116041,0.05589033319189499,0.21119187299727524,0.02753333124489897,0.07386679099436694
random,0.42150555541064866,0.02747844947282048,0.03215951860453399,0.0,0.3789234796037635,0.06609350177244029,0.02747844947282048,0.029823545861848808,0.013435135329682912,0.03985817461388096,0.13842305974365346,0.7883830747016717,0.05306900512608615,0.14919503984412189,0.015686073925775035,0.05611041317600966
random,0.4025221494701427,0.0,0.02486140371768955,0.03133453397070029,0.2752860053772102,0.15328375255425675,0.050982317312444576,0.0,0.0,0.0,0.0,0.7862182294311127,0.0,0.33485077405985336,0.048505429625334724,0.043377006101654535
random,0.5449430355158973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7797341059382399,0.0,0.0,0.0,0.30830473898306077
random,0.42673662892545494,0.18917239184664988,0.052713976742929824,0.0,0.04489943915256962,0.04642995026673082,0.0810738822199928,0.02933099320830421,0.0,0.05599984916571136,0.0,0.8335146706058706,0.02609627031163826,0.21299661253942523,0.10284673054709302,0.11496607938883112
random,0.3189124841552459,0.0,0.0919208780724594,0.0,0.19573536881841852,0.0809630018655525,0.12566572203628762,0.017048803227228095,0.0,0.0,0.0732688390343563,0.8901004341265634,0.0,0.13756163089108905,0.02989011758327894,0.10691947873084033
random,0.07222761175064912,0.0,0.0,0.0,0.23938382536704209,0.0,0.0,0.0,0.0,0.0,0.0,0.9645737877511329,0.0,0.08411875080427282,0.0,0.0
random,0.0,0.0,0.0,0.0,0.2552454562915749,0.2639461442080975,0.0,0.0,0.0,0.0,0.0,0.8815600142357134,0.2967054622026911,0.0,0.0,0.0
random,0.4279964445545912,0.05022287688855799,0.04898212886394159,0.0,0.041720815813518435,0.043142975499689214,0.016740958962852662,0.03633936899487786,0.02046304044894016,0.017345126774586495,0.046851559174139364,0.8765733635152332,0.016165869145818926,0.16126625070536843,0.06371051373414553,0.0712180926014864
random,0.2389028888344563,0.0,0.37872740716418984,0.0,0.38123480011240163,0.030325396457314874,0.10590567538973354,0.03831466509952236,0.0,0.1097277264617413,0.26345741621077734,0.683670469354822,0.13635676776931566,0.0,0.2686944836479003,0.030035715451606663
random,0.553314078174762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527807899089486,0.0,0.6444085292361952,0.0,0.0
random,0.2580296169257022,0.047660231639849754,0.018593117340120223,0.0,0.10293917950476666,0.10644812218396857,0.0190640926559399,0.0,0.0,0.14814075377647673,0.15116718563933024,0.8956586360137163,0.03681839588085064,0.23373010164434233,0.036275793390342224,0.06488079059971322
random,0.420050089291787,0.02940130233691348,0.02867494793318983,0.0,0.1709683866853071,0.050513222059941375,0.08820390701074045,0.0,0.0,0.060924743618726566,0.027427677217521,0.86464035711058,0.0851739032423169,0.1287380849527099,0.027972890927188895,0.07504604761582191
random,0.4151296412336582,0.0,0.0,0.0,0.2293105529706875,0.2371271840141958,0.0,0.0,0.0,0.0,0.17167380730331805,0.7259878360686227,0.0,0.4028951670513947,0.0,0.0
random,0.21444194373573108,0.0,0.0,0.0,0.47381632929913364,0.24498377953196215,0.0,0.0,0.0,0.0,0.0,0.8182271607705108,0.0,0.0,0.0,0.0
random,0.08783904402977254,0.0,0.968415392925425,0.0,0.048520793887484474,0.050174748050706354,0.0,0.0,0.0,0.0,0.0,0.20947479522082488,0.0,0.05115017980336017,0.05557090588504112,0.0
random,0.42796743370135093,0.0,0.0,0.0,0.35460289676207046,0.18334521735511877,0.07114425289928035,0.0,0.0,0.0,0.06636854320406242,0.765448823407504,0.0,0.24921276666429823,0.0,0.0
random,0.4311474336286414,0.04526708732263044,0.029432514183425598,0.0,0.10027726696700828,0.0907335376628752,0.12071223286034784,0.016376773807587192,0.0,0.015633580092784007,0.02815229170089394,0.876660407167996,0.05828274727421841,0.05285569159736127,0.028711909464810604,0.03851434823890546
random,0.0,0.0,0.0,0.0,0.0,0.26269246595391943,0.3058011466374275,0.0,0.0,0.0,0.0,0.8773728243719778,0.0,0.0,0.0,0.26018311647726494
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2594313098185073,0.7978936255792896,0.26854597888191445,0.0,0.0,0.47322744528624344
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
random,0.7166918408704304,0.0,0.0,0.0,0.5278511771284665,0.0,0.0,0.0,0.0,0.0,0.0,0.45576961288994017,0.0,0.0,0.0,0.0
random,0.31651793390734473,0.028062486583532463,0.027369207405766472,0.0,0.3496782462160063,0.024106527665075386,0.0,0.0,0.0,0.029075239266852692,0.0,0.7850111681673839,0.027098476677609763,0.3932028033726175,0.02669911922103185,0.047752503845656165
random,0.6657123757309212,0.0,0.08634591344814,0.0,0.392243406294989,0.025350876022143972,0.16231070085036733,0.03202960021100286,0.0,0.1375922979426877,0.02753004525791933,0.5715224641171824,0.014248632822351703,0.11629671551668022,0.04211594079474633,0.07532614121518673
random,0.8018955448707104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5099536526326464,0.0,0.31130500683915907,0.0,0.0
random,0.5569396277790182,0.08713813931924601,0.0,0.0,0.20509598501609924,0.062378588580934445,0.05809209287949734,0.0,0.0,0.015047147505584666,0.027096268630057718,0.7916909886640275,0.042072373541169994,0.05087301713714867,0.013817447261597197,0.02471308877398508
random,0.3228448745596486,0.0,0.0,0.0,0.11888934500721596,0.12294198947946826,0.14311716636480495,0.0,0.0,0.0,0.133510121366692,0.8212337582794058,0.0,0.12533206665836136,0.06808203321498359,0.36530278688267703
random,0.5163900955425527,0.0,0.0,0.0,0.0,0.09832280252255403,0.0,0.0,0.0,0.0,0.0,0.8209766754836613,0.0,0.20046853141011883,0.0,0.09738358155115225
random,0.36881781227498867,0.0377300710201115,0.1471918229498169,0.0,0.21940012377382684,0.06482255220998917,0.0,0.0,0.0,0.0,0.10559207862379325,0.866009544795316,0.14573583086297548,0.0,0.07179404158540185,0.03210166989517646
random,0.6424649115984279,0.10051932773726749,0.049018007027643445,0.0,0.04175137525007723,0.25904745979230254,0.050259663868633744,0.054548979987750726,0.0,0.05207349491650677,0.0937717534994542,0.6849490353294472,0.0,0.13204176065407716,0.04781788504889947,0.0
random,0.24731679232033785,0.06578133580642632,0.0,0.0,0.05464543580880313,0.1695244917170434,0.0,0.0,0.0,0.0,0.0,0.8964815725998797,0.1270431961805198,0.2880336081819793,0.0,0.0
random,0.16432120821613727,0.04370616518340852,0.0,0.0,0.18153648103217554,0.11263476709292732,0.0,0.0,0.0,0.045283485708279926,0.08154459127894725,0.9091295588012674,0.0,0.0,0.04158277675972953,0.2974902191631631
random,0.0,0.0,0.0,0.0,0.0,0.37075865585705814,0.0,0.0,0.0,0.0,0.0,0.9287292496239513,0.0,0.0,0.0,0.0
random,0.8287743939263924,0.0,0.17915966087564467,0.0,0.10173352861500091,0.10520137362970161,0.06123262912579772,0.0,0.0,0.0,0.11424451662700488,0.43920571710217077,0.11825829955124997,0.10724656098485293,0.0,0.15629466845919948
random,0.5198636058695053,0.06410023043719383,0.04465474617487792,0.0,0.1445327803746259,0.11406123269988992,0.02289293944185494,0.04472404944309602,0.0,0.07590120737871855,0.13240845277983995,0.7816162678588248,0.035370424282277456,0.20849966949537818,0.030493015817467554,0.08570264741363032
random,0.4525852973993916,0.0,0.0,0.0,0.5000008407235988,0.5170446358858736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5270963406771507,0.0,0.0
