,about,according,act,after,against,all,also,american,amount,and,and the,any,april,archived,archived from,are,article,assets,bank,banks,based,because,been,before,being,between,bitcoin,both,business,but,called,can,capital,capitalism,centermwparseroutput,centermwparseroutput citation,central,century,citation,citation centermwparseroutput,company,competition,cost,could,countries,country,credit,crisis,currency,debt,december,demand,depression,developed,development,different,displaystyle,does,due,during,during the,each,early,economic,economics,economists,economy,even,example,exchange,federal,federal reserve,finance,financial,first,for,for example,for the,form,free,from,from the,game,gdp,general,global,gold,good,goods,government,great,growth,had,has,has been,have,high,higher,his,history,how,however,human,imf,include,including,income,increase,index,individual,inflation,information,insurance,interest,international,into,investment,its,january,july,june,known,labor,labour,large,later,less,level,made,many,march,market,markets,may,model,monetary,money,more,most,much,national,nations,new,not,number,october,often,one,only,original,other,out,over,part,party,people,per,period,policies,policy,political,poverty,power,price,prices,private,production,public,rate,rates,real,reserve,resources,result,retrieved,risk,same,school,see,services,should,since,smith,social,social capital,society,some,standard,state,states,stock,such,supply,system,tax,taxes,term,than,that,that the,the,the economy,the federal,the first,the market,the new,the original,the same,the united,the world,their,them,then,theory,there,these,they,this,those,through,thus,time,times,trade,two,under,unemployment,united,united states,university,use,used,value,war,was,was the,wealth,well,were,what,when,where,which,while,who,will,with,with the,within,work,workers,world,would,year,years,york
random,0.15710135863139824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21541551326301953,0.0,0.0,0.0,0.0,0.0,0.0,0.4297217371368647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13362524970812387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11899186557243223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16304340104837395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16392116819189864,0.0,0.0,0.0,0.13763593019781326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1446910891011952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3623287986896545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082282214697055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5532797642861602,0.0,0.1780809724468154,0.0,0.0,0.0,0.0,0.0,0.17909848576083368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1507080741703666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.024355825479320824,0.0,0.011861088815401509,0.0,0.0,0.0,0.37603301927497657,0.032614332345322725,0.0,0.04456277139540409,0.0,0.0,0.03180860055657167,0.010871444115107575,0.0,0.015929839366729055,0.0,0.013909754028438125,0.0,0.035583266446204534,0.0,0.013214264351585348,0.025426747787124285,0.0,0.01250822252029639,0.014240063809074105,0.011263785833164805,0.0,0.010141675244879347,0.0,0.0,0.04017122514003698,0.02008561257001849,0.04429044869831805,0.0,0.05021403142504623,0.030128418855027737,0.03317219684115815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015324771392956935,0.0,0.0,0.0,0.031445728420987015,0.013991022921715794,0.0,0.0,0.02848012761814821,0.025991254243885036,0.0,0.01467375810368123,0.02798204584343159,0.0,0.0,0.0,0.0,0.0,0.041012795550349826,0.0,0.0,0.0,0.0,0.0,0.023113385218796318,0.12643475720909442,0.0,0.010655843906983535,0.01513312935015561,0.05729954204040324,0.02801670132189395,0.0,0.0,0.0,0.01374972550548708,0.0,0.0,0.0,0.0,0.013515704507889192,0.0,0.0,0.03672857889721972,0.0434857764604303,0.013439239767282552,0.02359849397413307,0.0556390161137525,0.0,0.0,0.0422194554577457,0.0,0.03834894214029758,0.0,0.0,0.028994723367004795,0.013515704507889192,0.0,0.0,0.0,0.0,0.0,0.03007810831440546,0.0,0.0,0.0,0.012177912739660412,0.015722864210493508,0.047444355261606036,0.0,0.0,0.0,0.03964279305475604,0.0,0.0,0.0,0.0,0.0,0.015228358868743434,0.0,0.024882052713760625,0.014156159117369933,0.0,0.0,0.010446071450882699,0.0,0.0,0.0,0.011556692609398159,0.0,0.028994723367004795,0.0,0.0,0.153741456466982,0.011263785833164805,0.013592930104179224,0.028312318234739866,0.0,0.021852586331904084,0.012113504831489782,0.05798944673400959,0.02241301604096327,0.013214264351585348,0.012644385809164025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011037168028636536,0.0,0.013288533898175872,0.015324771392956935,0.0,0.0,0.0,0.0,0.0,0.014585058756612215,0.0,0.016035434307080976,0.0,0.0,0.08249835303292247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012713373893562143,0.05070837622439673,0.0,0.8187694208977478,0.0,0.0,0.026577067796351744,0.0,0.05798944673400959,0.015621410368537153,0.013515704507889192,0.0,0.0,0.011677022281637209,0.0,0.025426747787124285,0.0,0.03732307907064093,0.0,0.02359849397413307,0.08398388330364323,0.01374972550548708,0.013515704507889192,0.0,0.035213682096155274,0.0,0.0,0.024485719264813143,0.013592930104179224,0.0,0.0,0.0,0.0,0.05834023502644886,0.0,0.0,0.031042531289953577,0.19040910229234187,0.013909754028438125,0.0,0.013140698792331897,0.05719100051657845,0.013991022921715794,0.01143820010331569,0.0,0.03102982143118819,0.0,0.03484987273842848,0.013288533898175872,0.12024598710808733,0.05603254010240817,0.014854257131801364,0.05869503241472492,0.0,0.012374406991680265,0.012713373893562143,0.02934751620736246,0.0,0.0
random,0.021802754207790497,0.003353988866792041,0.0,0.03896916989184586,0.01779624541810885,0.027110955185303272,0.010534402610567694,0.0014934598178091246,0.0,0.22421757818331067,0.026091364859571288,0.006249544649705083,0.008488114069433476,0.11143523380866593,0.11219012338663743,0.013329266722184967,0.0,0.0,0.0,0.0,0.0015896800199906953,0.004607721509288048,0.018977668629712292,0.013415955467168164,0.007550978966142532,0.013076562519763508,0.0,0.002859011221256734,0.0016274295630531392,0.027032981337297254,0.004581760901943204,0.0011590441119992416,0.0,0.0,0.004590979384186512,0.002295489692093256,0.0,0.0,0.006886469076279768,0.003443234538139884,0.0037910935326229338,0.0,0.0,0.022919728078948525,0.0017081197456532784,0.0,0.0,0.004104120329084166,0.0,0.0,0.0017513956641147074,0.0,0.0,0.0,0.0,0.0015989678575488676,0.0,0.0,0.016274295630531392,0.011881670224082841,0.01018573688332017,0.015092949900564182,0.003197935715097735,0.0,0.0,0.0,0.0,0.006748994624270378,0.0015623861624262708,0.0,0.005766077276925166,0.0,0.0,0.0,0.027735954878588334,0.081537201210354,0.0,0.02800953839802641,0.0017294938011623777,0.008185617171053046,0.13447964568669174,0.10086331472223671,0.00262137196980038,0.0,0.0015713911167474174,0.0018448483745591392,0.0,0.005221131397736398,0.0,0.012357167707416126,0.0017513956641147074,0.0,0.04757207038913194,0.013666905402632578,0.0015359071697626826,0.0229241625347764,0.006358720079962781,0.001697622813886695,0.01878587189839807,0.0,0.025455824398218342,0.004382719276241259,0.0,0.0,0.0016568349205690592,0.023169689451405236,0.0,0.0017187423921649061,0.0,0.0,0.0,0.0,0.0,0.003502791328229415,0.018535751561124192,0.026443365283752546,0.0,0.0040666432777954915,0.004882288689159417,0.5669155484387118,0.05534081630206867,0.0,0.0,0.0,0.0,0.008334287022033055,0.001637123434210609,0.006961508530315196,0.012081566345828052,0.011374608630620611,0.0032356809851107,0.0,0.0,0.004775328460564606,0.0,0.0,0.003353988866792041,0.029056714634711583,0.004311756640274567,0.0,0.0015017883332931576,0.0,0.017570384141240875,0.021883842034954918,0.004660415135069807,0.00808920246277675,0.0,0.01623328699691804,0.002768790384547485,0.09941009523414354,0.012807388151942385,0.04983646117654071,0.014450670691075439,0.00628556446698967,0.002223161932044323,0.014142520050726757,0.00384405151795011,0.003593783619947279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009043200331291898,0.004970504761707177,0.0,0.0,0.0017187423921649061,0.0,0.001922025758975055,0.0,0.17280984750304743,0.0,0.0015186837085480259,0.003502791328229415,0.0028133273035869264,0.0,0.0054259201987751395,0.004581760901943204,0.0,0.001666857404406611,0.0,0.0,0.008485274799406113,0.0018086400662583799,0.0015713911167474174,0.0029059027821696686,0.0,0.00421999095538039,0.003641092043925075,0.015623861624262709,0.0,0.0,0.0,0.026153125039527016,0.052156985039965874,0.014934598178091245,0.6728364837489729,0.0,0.0,0.012149469668384207,0.0,0.016568349205690593,0.10711782780415165,0.0015446459634270158,0.0,0.005156227176494718,0.05738400161315681,0.04420233272368644,0.010170659737593839,0.0,0.0028436521576551527,0.004382719276241259,0.049893765516866286,0.005998825582037577,0.003142782233494835,0.013901813670843142,0.0,0.013414684099641055,0.032742468684212184,0.003480754265157598,0.016790142490281865,0.004660415135069807,0.0,0.004505364999879473,0.0016274295630531392,0.0,0.005000572213219832,0.008813600711891035,0.0,0.0,0.07398725043784689,0.0015896800199906953,0.0,0.003003576666586315,0.12157125613077788,0.007994839287744339,0.010457742462862614,0.013005603621967895,0.016549174023989758,0.016428057995900372,0.026552181190376212,0.00759341854274013,0.0570835882567057,0.0166496045975251,0.00339524562777339,0.0016769944333960205,0.010500083645637917,0.007071062332838429,0.029059027821696684,0.003353988866792041,0.0,0.016384914197662834
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552135217648201,0.2064185108725848,0.0,0.0,0.0,0.0,0.0,0.2064185108725848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1925622281305023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19834186613380678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23000179206083698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095651474265167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7402931360721214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28554984335043193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18076698429214139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23495559900862967,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.12051084519048326,0.0,0.0,0.3847486780075406,0.06395967331928754,0.0,0.0,0.0,0.0,0.06237955996771456,0.12791934663857507,0.0,0.0,0.0,0.08183487991022459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23633828308254076,0.11816914154127038,0.0,0.0,0.29542285385317596,0.1772537123119056,0.0,0.11745748076125796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05313215640688921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1918790199578626,0.0,0.0,0.0,0.0,0.0,0.0,0.07280201418760139,0.0,0.0,0.0,0.0,0.07951657901670228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07164598486571556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08328454830987975,0.0,0.0,0.0,0.0,0.0,0.0,0.06799117726423752,0.0,0.0,0.0,0.0,0.0,0.0,0.07997091828003287,0.0,0.0,0.0,0.0,0.0,0.06593094573736752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5194773787233453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09434083723877437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596662438499202,0.0,0.4587660955747389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12352502766218365,0.0,0.0,0.0,0.0,0.0,0.0,0.07202808516436628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06729405350592407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08739164948936604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23540645115243378,0.23700115213244294,0.0,0.07873985116593665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07345427073900404,0.0,0.0,0.29095272488079615,0.14547636244039808,0.0,0.0,0.3636909061009952,0.21821454366059714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5549723688302713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1352798437747447,0.15590730559438867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10692916542497469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20506086407307003,0.0,0.0,0.0,0.10500169887010785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197606348030887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09958670885039295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22591218629404472,0.0,0.0,0.0,0.0,0.0,0.1131429747876199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.06858598261861476,0.17502153962255418,0.0,0.10948544133372355,0.0,0.0,0.09947390450072234,0.10882764725693207,0.10956487240468447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09826516394059996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2690130228526928,0.1345065114263464,0.0,0.0,0.336266278565866,0.2017597671395196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15478247438040227,0.0,0.0,0.0,0.0,0.0,0.06253943784130908,0.0720754472740346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09314888867051656,0.0,0.0,0.09424310806462609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09479897968936796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08799878749524936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09708389714957529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739121578882938,0.0,0.0,0.10262477837244327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6788501139391009,0.0,0.0,0.0,0.0,0.0,0.10461126863353384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08198626421259969,0.0,0.0,0.0,0.0,0.18415446423312362,0.0,0.0,0.0,0.0,0.19126574310754263,0.0,0.0,0.08799878749524936,0.0,0.0,0.0,0.0,0.0,0.0,0.07779257896429416,0.0,0.06194203469521016,0.0750461701803585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2939858196164566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10127042337961727,0.0,0.0,0.0,0.0,0.3611713714967211,0.18058568574836056,0.0,0.0,0.45146421437090134,0.27087852862254086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13691509878265212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12727516737971226,0.0,0.0,0.0,0.0,0.0,0.0,0.10390388904376122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2976988454133129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4907593659463937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12221128908245588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1257904611986027,0.0,0.0,0.0,0.0,0.0,0.23894904855174307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.020522626824291037,0.0,0.039977409050649074,0.03451971675397661,0.0,0.0,0.09643313383648125,0.0,0.0,0.12516446060383085,0.0,0.0,0.0,0.0,0.0,0.026845499362922635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04771286788497216,0.0,0.06769789538223829,0.033848947691119145,0.0,0.0,0.08462236922779785,0.050773421536678714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0805364980887679,0.0,0.0,0.0,0.0,0.05842717750143799,0.10653604584353599,0.0,0.03591517079749032,0.0,0.024140777316219362,0.0314764562350819,0.018137992121881337,0.5025066672591904,0.0,0.023171498393690784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02154230765913674,0.0,0.0,0.0,0.022777118362775593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020522626824291037,0.0,0.0,0.0,0.4727184104809454,0.34620192750061496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22885290769789296,0.0,0.0,0.0,0.0,0.0,0.0,0.022145146158516458,0.0,0.07402578764513634,0.0,0.0,0.0,0.0,0.036826711114024316,0.04082816891621834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2550771394903674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16740185033508295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017091091131402964,0.0,0.36795138081971895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09839254715814891,0.024140777316219362,0.04285000782532056,0.0,0.020966034713149333,0.0,0.059653459808735515,0.03538311394452354,0.0,0.0,0.0,0.0,0.0,0.07699002272986871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03208838028184918,0.02344118382566723,0.0,0.0,0.038552076579990505,0.0,0.019276038289995252,0.06392622863983603,0.017430831792783933,0.0,0.0,0.0,0.03117577981981579,0.0,0.0,0.0,0.0,0.0,0.0,0.049457418214373564,0.0,0.0805364980887679
random,0.062233254054521354,0.0,0.0,0.06356151749217315,0.0,0.0,0.0,0.0,0.0,0.5120009838604905,0.05674252230738697,0.0,0.0,0.0,0.0,0.0,0.17022756692216093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07998626248853785,0.0,0.0,0.0,0.0,0.0,0.0,0.07998626248853785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2437177439207877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061907883586738974,0.0,0.07705666780662783,0.0,0.0,0.0,0.0,0.07705666780662783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058790314528297506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0820640720546183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7325988284482119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06671961522378347,0.0,0.10958657657071544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987646281387489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06820632907284667,0.0,0.0,0.04827792980194713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
