,all,also,and,and the,are,bank,been,between,but,can,capital,countries,economic,economics,economy,financial,for,for the,from,from the,government,had,has,have,his,income,its,market,may,money,more,new,not,one,other,policy,price,rate,reserve,retrieved,social,some,states,such,tax,than,that,that the,the,their,theory,there,these,they,this,trade,united,was,were,when,which,with,world,would
random,0.0,0.0,0.29256591000936477,0.0,0.0,0.0,0.0,0.0,0.0,0.1814827176970879,0.0,0.0,0.0,0.0,0.0,0.0,0.16160843250135132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869298109423645,0.0,0.0,0.19651175308553956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4186192012770566,0.0,0.0,0.0,0.0,0.0,0.7514351927407622,0.0,0.0,0.0,0.0,0.20468370266154573,0.0,0.0,0.0,0.0
random,0.012285525121097407,0.0,0.38948895641571385,0.033781401148939835,0.03294683711475823,0.016499871534632914,0.03685657536329222,0.026336616608156546,0.011666848294089174,0.01050458418532289,0.0,0.0,0.0,0.0,0.0,0.0,0.13095908900498351,0.011037151819970368,0.029019248844462813,0.0,0.013999349456467353,0.03804287158849053,0.04504186819858645,0.024442940698902734,0.0,0.0,0.04914210048438963,0.0,0.010819872882155258,0.0,0.011970236424265038,0.15924292912524432,0.011666848294089174,0.02263455762956189,0.023215041712972142,0.0,0.0,0.0,0.0,0.011432121215171693,0.015106969396803683,0.0,0.0,0.0,0.0,0.013168308304078273,0.052522920926614446,0.0,0.8480682039716393,0.012094871964400839,0.0,0.038658645311184466,0.0,0.024442940698902734,0.08698915623618445,0.0,0.0,0.19722268721743694,0.05923751895650356,0.011847503791300711,0.032140190216013026,0.1245488604224362,0.012817211836198956,0.013168308304078273
random,0.03466957129373176,0.013471425844189233,0.2867301155198013,0.03336571610874268,0.017045506503159693,0.0,0.024268699905612232,0.01672234760661053,0.03456985810162863,0.0014821891076460874,0.0,0.002184348684706619,0.0,0.0,0.0,0.0,0.1042700189326471,0.03581868221748643,0.17197297667394565,0.12898431120495293,0.015802383349927358,0.060835307154375566,0.01747727986648426,0.029315488219292498,0.024023429666893095,0.0,0.005200435694059764,0.0,0.006106704444123736,0.0042890910829532424,0.03715781434863831,0.022469060255509772,0.02798512322512794,0.020759176392883074,0.016378126612852314,0.0,0.0,0.0,0.0,0.22098975441166463,0.0021315822782181776,0.010850995016375882,0.0037160772459134514,0.005396537166856263,0.0,0.03344469521322106,0.06669850984407394,0.019098409212791403,0.8604253255895699,0.07338283440951744,0.0,0.0036364709594534565,0.005604634634578592,0.06380429788904837,0.0076713162547609876,0.004451199056876473,0.0057614743560300665,0.09461511910405325,0.1554656891609398,0.013373392615994822,0.02116313367623858,0.07299866490284078,0.009042495846979904,0.03716077245913452
random,0.0,0.0,0.1710969773569785,0.22754192340497983,0.0,0.0,0.0,0.0,0.0,0.21226768654972586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21863877188648712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2310105645201172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8160495071555481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19926540076311794,0.0,0.0,0.0,0.0,0.25899929559221174,0.0
random,0.0,0.14174639274998624,0.45254630101292836,0.07523018330961381,0.073371633837427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06249471985529948,0.0,0.0,0.0,0.0,0.0,0.22569054992884144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07997208965547625,0.0,0.0,0.0,0.07754881906350566,0.0,0.0,0.0,0.0,0.6110159167240454,0.0,0.0,0.0,0.0,0.0,0.0,0.07018019682211246,0.0,0.5396065313534949,0.0,0.0,0.0,0.0,0.0,0.1452917126071198,0.0,0.0,0.0,0.0,0.07915212380190469,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16372303962272078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015267458196579,0.34750352449891925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7127180292575359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5035381803639001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.09398717857130927,0.15003397680852693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08570126267382663,0.0987689856573275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10128593215127984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9302659879750885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26210206321581236,0.0,0.0,0.0,0.08488260798626922,0.0,0.0
random,0.0,0.0,0.44474506596973623,0.0,0.0,0.0,0.0,0.0,0.15320303947146502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15718697605064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45036217330207146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7424263077309222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.07596079400968749,0.06559067122882997,0.1832319199521172,0.0,0.0,0.0510089446920036,0.0,0.0,0.0,0.0,0.09065888498251638,0.0,0.0,0.0,0.0,0.0,0.20242839206199306,0.06824216365083849,0.05980819330234158,0.03446387137230428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4348418017319065,0.0,0.0,0.14065587891383807,0.0,0.06997417500074961,0.0,0.0,0.0,0.0,0.0,0.3180790794629377,0.0,0.0,0.0,0.0,0.0,0.0,0.03247466215703188,0.0,0.6991418330441541,0.18695498743551675,0.0,0.0398374152268789,0.0,0.1133471197884686,0.06723120616336228,0.1462882011681986,0.0,0.060970905883518944,0.07325252979822137,0.03662626489911069,0.033120201000311565,0.05923688015859422,0.0,0.0
random,0.0,0.0,0.5317638165238003,0.058932738749550226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2531250559026301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06429747888524676,0.0,0.0,0.0,0.0,0.0,0.06105957412910069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7608765632814399,0.0,0.0,0.0,0.06929493955438541,0.0,0.11381653167467311,0.0,0.0,0.20643678543749625,0.0,0.0,0.0,0.05014141967419877,0.0,0.0
