,and,are,for,from,that,the,was,with
random,0.546156967453471,0.0,0.30168781936016315,0.0,0.0,0.7814710657162796,0.0,0.0
random,0.4002043913233978,0.033853254826228446,0.1345619731707279,0.029817612615606125,0.05396790654451183,0.8713998530139171,0.20264858397878524,0.127975389428456
random,0.30530635142279117,0.01814982492926787,0.11102530679555841,0.1831145010926249,0.0710196717527045,0.9161692567636042,0.10074489995835977,0.07772799170334155
random,0.19958274496796222,0.0,0.0,0.0,0.0,0.951912787611932,0.2324409015038749,0.0
random,0.63357504884076,0.10272194555126005,0.08749402016099968,0.0,0.0982538616042158,0.7554613388549534,0.0,0.0
random,0.0,0.0,0.0,0.5137486807464977,0.0,0.8579407281573904,0.0,0.0
random,0.1522460237218588,0.0,0.0,0.08696481122195462,0.0,0.9439814946293182,0.26596640162933294,0.08613408658455506
random,0.5138917913690816,0.0,0.0,0.0,0.0,0.8578550150016472,0.0,0.0
random,0.2415952859446067,0.0,0.2669062534317404,0.07885840833019425,0.04281855089349545,0.9218337673603969,0.08039147024754109,0.07810511947984751
random,0.5396716823777127,0.0,0.0,0.2568892815308936,0.0,0.7721915674371358,0.20950670925672915,0.050887073304978554
random,0.2974965541859835,0.0,0.5477734549343221,0.1132891401320782,0.0,0.756754195347118,0.11549155925342584,0.11220695437745921
random,0.41873126166994556,0.09584354673704311,0.27211767863592934,0.056278699797707235,0.09167465166495875,0.8458495650564793,0.08605919488154347,0.08361165280178498
random,0.0,0.0,0.0,0.0,0.0,0.6336436890968115,0.7736250223899066,0.0
random,0.38769924119288013,0.031927840887020296,0.1019802221646058,0.09139561283997867,0.03053907948296482,0.8629306634990958,0.2651830036025208,0.11837565971646942
random,0.3031956251089342,0.0,0.6699204252956716,0.0,0.0,0.5784383669750961,0.35311201097902767,0.0
random,0.17200348031610643,0.07436543751519711,0.12668239594409444,0.06550034314869595,0.0,0.8750646251999624,0.3338685752693502,0.2594986247340256
random,0.5417088335179548,0.0,0.11221152968681049,0.27075193578744744,0.0,0.7751064339818456,0.11829237445702499,0.07661874252804324
random,0.6701029087398631,0.0,0.14806137966324093,0.0,0.0,0.6392131022627452,0.31216992076717986,0.1516458704167118
random,0.343220219368872,0.018548841083419382,0.11059358999720356,0.14703872483150285,0.03548404880667731,0.9003465891310197,0.06662100408301382,0.17799729295047304
